state,state_color
Alabama,Red
Alaska,Red
Arizona,Red
Arkansas,Red
California,Blue
Colorado,Blue
Connecticut,Blue
Delaware,Blue
District of Columbia,Blue
Florida,Purple
Georgia,Red
Hawaii,Blue
Idaho,Red
Illinois,Blue
Indiana,Red
Iowa,Purple
Kansas,Red
Kentucky,Red
Louisiana,Red
Maine,Purple
Maryland,Blue
Massachusetts,Blue
Michigan,Blue
Minnesota,Blue
Mississippi,Red
Missouri,Red
Montana,Red
Nebraska,Purple
Nevada,Blue
New Hampshire,Blue
New Jersey,Blue
New Mexico,Blue
New York,Blue
North Carolina,Red
North Dakota,Red
Ohio,Purple
Oklahoma,Red
Oregon,Blue
Pennsylvania,Blue
Rhode Island,Blue
South Carolina,Red
South Dakota,Red
Tennessee,Red
Texas,Red
Utah,Red
Vermont,Blue
Virginia,Blue
Washington,Blue
West Virginia,Red
Wisconsin,Blue
Wyoming,Red